Model,Features,MAE,RMSE,R2
Linear Regression,Base,11.204836800649508,16.253937132722893,0.6618355122002813
MLP,Base,7.597296072316518,10.43595088771332,0.8605961075530326
MLP,Base + Lag,4.252700102509369,6.266008072355292,0.9497434412918078
